
Output from Plumeria 2, fortran version, run date 2022.02.09  16:43

Input values:
      Using multilayered atmosphere from file metfile.txt                                                                     
                           Vent diameter (m):  2100.0
                          Vent elevation (m):   144.0
                      Initial velocity (m/s):   283.7
                       Magma temperature (C):    900.
                         Weight fraction gas:   0.030
                         Weight fraction air:   0.001
               Magma specific heat, (J/kg K):  1000.0
                      Magma density, (kg/m3):  2500.0
                     Mixture density (kg/m3):   5.948
                   Mass fraction water added:   0.000
                           Mass flux, (kg/s):  0.584E+10
                 Mass flux of solids, (kg/s):  0.567E+10
                   Mixture sound speed (m/s):   144.0
**********************************************************************************************************************************************************************************************
   i        s        z        x        y       m_m       m_a       m_w       m_l       m_i      v       u          r   T_mix   T_air   rho_mix   rho_air    Time     p_air     water       ice
       meters   meters   meters   meters                                                      m/s     m/s          m  Kelvin  Kelvin     kg/m3     kg/m3 seconds        Pa      g/m3      g/m3
   1      0.0      0.0      0.0      0.0 0.969E+00 0.100E-02 0.300E-01 0.000E+00 0.000E+00    5.75   283.70    1050.0  1173.0   299.7     5.948     1.148     0.0   98721.4 0.000E+00 0.000E+00
   2      1.0      1.0     -0.0      0.0 0.969E+00 0.108E-02 0.300E-01 0.000E+00 0.000E+00    5.75   283.65    1051.0  1172.9   299.7     5.938     1.148     0.0   98710.1 0.000E+00 0.000E+00
   3      2.5      2.5     -0.0      0.0 0.969E+00 0.121E-02 0.300E-01 0.000E+00 0.000E+00    5.75   283.57    1052.6  1172.8   299.7     5.923     1.148     0.0   98693.2 0.000E+00 0.000E+00
   4      4.6      4.6     -0.0      0.0 0.969E+00 0.138E-02 0.300E-01 0.000E+00 0.000E+00    5.76   283.46    1054.7  1172.6   299.7     5.902     1.147     0.0   98669.8 0.000E+00 0.000E+00
   5      7.3      7.3     -0.0      0.0 0.968E+00 0.160E-02 0.300E-01 0.000E+00 0.000E+00    5.76   283.32    1057.4  1172.4   299.6     5.876     1.147     0.0   98639.5 0.000E+00 0.000E+00
   6     10.6     10.6     -0.0      0.0 0.968E+00 0.187E-02 0.300E-01 0.000E+00 0.000E+00    5.76   283.15    1060.8  1172.2   299.6     5.844     1.147     0.0   98602.1 0.000E+00 0.000E+00
   7     14.5     14.5     -0.0      0.0 0.968E+00 0.219E-02 0.300E-01 0.000E+00 0.000E+00    5.77   282.95    1064.8  1171.9   299.6     5.806     1.146     0.1   98558.0 0.000E+00 0.000E+00
   8     19.0     19.0     -0.0      0.0 0.967E+00 0.256E-02 0.299E-01 0.000E+00 0.000E+00    5.78   282.72    1069.3  1171.5   299.5     5.764     1.146     0.1   98507.5 0.000E+00 0.000E+00
   9     24.0     24.0     -0.0      0.0 0.967E+00 0.297E-02 0.299E-01 0.000E+00 0.000E+00    5.78   282.46    1074.4  1171.2   299.5     5.717     1.145     0.1   98451.5 0.000E+00 0.000E+00
  10     29.4     29.4     -0.0      0.0 0.967E+00 0.341E-02 0.299E-01 0.000E+00 0.000E+00    5.79   282.18    1079.9  1170.8   299.4     5.667     1.145     0.1   98390.5 0.000E+00 0.000E+00
  11     35.2     35.2     -0.0      0.0 0.966E+00 0.389E-02 0.299E-01 0.000E+00 0.000E+00    5.80   281.89    1085.7  1170.3   299.4     5.615     1.144     0.1   98325.2 0.000E+00 0.000E+00
  12     41.4     41.4     -0.0      0.0 0.966E+00 0.439E-02 0.299E-01 0.000E+00 0.000E+00    5.81   281.57    1091.9  1169.9   299.3     5.561     1.144     0.1   98256.2 0.000E+00 0.000E+00
  13     47.8     47.8     -0.0      0.0 0.965E+00 0.491E-02 0.299E-01 0.000E+00 0.000E+00    5.81   281.24    1098.3  1169.4   299.3     5.506     1.143     0.2   98184.3 0.000E+00 0.000E+00
  14     54.4     54.4     -0.0      0.0 0.965E+00 0.545E-02 0.299E-01 0.000E+00 0.000E+00    5.82   280.91    1104.9  1168.9   299.2     5.450     1.142     0.2   98109.8 0.000E+00 0.000E+00
  15     61.3     61.3     -0.0      0.0 0.964E+00 0.601E-02 0.299E-01 0.000E+00 0.000E+00    5.83   280.56    1111.6  1168.4   299.2     5.393     1.142     0.2   98033.2 0.000E+00 0.000E+00
  16     68.3     68.3     -0.0      0.0 0.964E+00 0.658E-02 0.299E-01 0.000E+00 0.000E+00    5.84   280.20    1118.5  1167.9   299.1     5.337     1.141     0.2   97955.0 0.000E+00 0.000E+00
  17     75.4     75.4     -0.0      0.0 0.963E+00 0.715E-02 0.299E-01 0.000E+00 0.000E+00    5.85   279.84    1125.6  1167.3   299.1     5.280     1.140     0.3   97875.4 0.000E+00 0.000E+00
  18     82.6     82.6     -0.0      0.0 0.962E+00 0.774E-02 0.299E-01 0.000E+00 0.000E+00    5.86   279.48    1132.6  1166.8   299.0     5.225     1.140     0.3   97794.7 0.000E+00 0.000E+00
  19     89.9     89.9     -0.0      0.0 0.962E+00 0.832E-02 0.299E-01 0.000E+00 0.000E+00    5.87   279.11    1139.8  1166.3   298.9     5.169     1.139     0.3   97713.1 0.000E+00 0.000E+00
  20     97.3     97.3     -0.0      0.0 0.961E+00 0.892E-02 0.299E-01 0.000E+00 0.000E+00    5.88   278.74    1146.9  1165.7   298.9     5.115     1.138     0.3   97630.9 0.000E+00 0.000E+00
  21    104.7    104.7     -0.0      0.0 0.961E+00 0.952E-02 0.299E-01 0.000E+00 0.000E+00    5.89   278.36    1154.2  1165.2   298.8     5.061     1.138     0.4   97548.0 0.000E+00 0.000E+00
  22    112.1    112.1     -0.0      0.0 0.960E+00 0.101E-01 0.298E-01 0.000E+00 0.000E+00    5.90   277.99    1161.4  1164.6   298.7     5.008     1.137     0.4   97464.8 0.000E+00 0.000E+00
  23    119.6    119.6     -0.0      0.0 0.959E+00 0.107E-01 0.298E-01 0.000E+00 0.000E+00    5.92   277.61    1168.6  1164.1   298.7     4.956     1.136     0.4   97381.2 0.000E+00 0.000E+00
  24    127.2    127.2     -0.0      0.0 0.959E+00 0.113E-01 0.298E-01 0.000E+00 0.000E+00    5.93   277.23    1175.8  1163.5   298.6     4.905     1.135     0.5   97297.3 0.000E+00 0.000E+00
  25    134.7    134.7     -0.0      0.0 0.958E+00 0.119E-01 0.298E-01 0.000E+00 0.000E+00    5.95   276.86    1183.1  1163.0   298.6     4.855     1.135     0.5   97213.3 0.000E+00 0.000E+00
  26    142.3    142.3     -0.0      0.0 0.958E+00 0.125E-01 0.298E-01 0.000E+00 0.000E+00    5.97   276.48    1190.3  1162.4   298.5     4.805     1.134     0.5   97129.1 0.000E+00 0.000E+00
  27    149.9    149.9     -0.0      0.0 0.957E+00 0.131E-01 0.298E-01 0.000E+00 0.000E+00    5.98   276.10    1197.5  1161.9   298.5     4.757     1.133     0.5   97044.8 0.000E+00 0.000E+00
  28    157.5    157.5     -0.0      0.0 0.956E+00 0.137E-01 0.298E-01 0.000E+00 0.000E+00    6.00   275.72    1204.8  1161.3   298.4     4.710     1.132     0.6   96960.4 0.000E+00 0.000E+00
  29    165.1    165.1     -0.0      0.0 0.956E+00 0.143E-01 0.298E-01 0.000E+00 0.000E+00    6.02   275.35    1212.0  1160.8   298.4     4.663     1.131     0.6   96876.0 0.000E+00 0.000E+00
  30    172.7    172.7     -0.0      0.0 0.955E+00 0.149E-01 0.298E-01 0.000E+00 0.000E+00    6.03   274.97    1219.1  1160.2   298.3     4.618     1.131     0.6   96791.6 0.000E+00 0.000E+00
  31    180.3    180.3     -0.0      0.0 0.955E+00 0.156E-01 0.298E-01 0.000E+00 0.000E+00    6.05   274.59    1226.3  1159.6   298.2     4.573     1.130     0.6   96707.1 0.000E+00 0.000E+00
  32    187.9    187.9     -0.0      0.0 0.954E+00 0.162E-01 0.298E-01 0.000E+00 0.000E+00    6.07   274.22    1233.5  1159.1   298.2     4.529     1.129     0.7   96622.7 0.000E+00 0.000E+00
  33    195.5    195.5     -0.0      0.0 0.953E+00 0.168E-01 0.298E-01 0.000E+00 0.000E+00    6.08   273.84    1240.6  1158.5   298.1     4.486     1.128     0.7   96538.3 0.000E+00 0.000E+00
  34    200.0    200.0     -0.0      0.0 0.953E+00 0.171E-01 0.298E-01 0.000E+00 0.000E+00    6.09   273.62    1244.8  1158.2   298.1     4.461     1.128     0.7   96488.8 0.000E+00 0.000E+00
  35    205.0    205.0     -0.0      0.0 0.953E+00 0.175E-01 0.297E-01 0.000E+00 0.000E+00    6.10   273.38    1249.4  1157.8   298.1     4.434     1.127     0.7   96433.7 0.000E+00 0.000E+00
  36    210.4    210.4     -0.0      0.0 0.952E+00 0.179E-01 0.297E-01 0.000E+00 0.000E+00    6.11   273.11    1254.5  1157.5   298.0     4.404     1.127     0.8   96373.7 0.000E+00 0.000E+00
  37    216.2    216.2     -0.0      0.0 0.952E+00 0.184E-01 0.297E-01 0.000E+00 0.000E+00    6.13   272.83    1259.9  1157.0   298.0     4.373     1.126     0.8   96309.5 0.000E+00 0.000E+00
  38    222.3    222.3     -0.0      0.0 0.951E+00 0.189E-01 0.297E-01 0.000E+00 0.000E+00    6.14   272.53    1265.6  1156.6   297.9     4.341     1.126     0.8   96241.7 0.000E+00 0.000E+00
  39    228.8    228.8     -0.0      0.0 0.951E+00 0.194E-01 0.297E-01 0.000E+00 0.000E+00    6.15   272.21    1271.5  1156.1   297.9     4.308     1.125     0.8   96171.0 0.000E+00 0.000E+00
  40    235.4    235.4     -0.0      0.0 0.950E+00 0.199E-01 0.297E-01 0.000E+00 0.000E+00    6.17   271.89    1277.6  1155.6   297.8     4.274     1.124     0.8   96097.7 0.000E+00 0.000E+00
  41    242.2    242.2     -0.0      0.0 0.950E+00 0.204E-01 0.297E-01 0.000E+00 0.000E+00    6.18   271.56    1283.9  1155.2   297.8     4.240     1.124     0.9   96022.4 0.000E+00 0.000E+00
  42    249.2    249.2     -0.1      0.0 0.949E+00 0.210E-01 0.297E-01 0.000E+00 0.000E+00    6.20   271.22    1290.3  1154.6   297.7     4.205     1.123     0.9   95945.5 0.000E+00 0.000E+00
  43    256.3    256.3     -0.1      0.0 0.949E+00 0.215E-01 0.297E-01 0.000E+00 0.000E+00    6.22   270.87    1296.8  1154.1   297.7     4.171     1.122     0.9   95867.1 0.000E+00 0.000E+00
  44    263.5    263.5     -0.1      0.0 0.948E+00 0.221E-01 0.297E-01 0.000E+00 0.000E+00    6.23   270.52    1303.4  1153.6   297.6     4.136     1.121     1.0   95787.8 0.000E+00 0.000E+00
  45    270.8    270.8     -0.1      0.0 0.948E+00 0.227E-01 0.297E-01 0.000E+00 0.000E+00    6.25   270.17    1310.1  1153.1   297.6     4.102     1.121     1.0   95707.5 0.000E+00 0.000E+00
  46    278.2    278.2     -0.1      0.0 0.947E+00 0.232E-01 0.297E-01 0.000E+00 0.000E+00    6.26   269.82    1316.8  1152.6   297.5     4.068     1.120     1.0   95626.6 0.000E+00 0.000E+00
  47    285.6    285.6     -0.1      0.0 0.947E+00 0.238E-01 0.297E-01 0.000E+00 0.000E+00    6.28   269.46    1323.6  1152.0   297.5     4.035     1.119     1.0   95545.1 0.000E+00 0.000E+00
  48    293.1    293.1     -0.1      0.0 0.946E+00 0.244E-01 0.297E-01 0.000E+00 0.000E+00    6.30   269.10    1330.3  1151.5   297.4     4.002     1.118     1.1   95463.2 0.000E+00 0.000E+00
  49    300.6    300.6     -0.1      0.0 0.945E+00 0.250E-01 0.296E-01 0.000E+00 0.000E+00    6.31   268.74    1337.1  1151.0   297.4     3.969     1.118     1.1   95380.9 0.000E+00 0.000E+00
  50    308.1    308.1     -0.1      0.0 0.945E+00 0.256E-01 0.296E-01 0.000E+00 0.000E+00    6.33   268.38    1343.9  1150.4   297.3     3.936     1.117     1.1   95298.4 0.000E+00 0.000E+00
  51    315.7    315.7     -0.1      0.0 0.944E+00 0.261E-01 0.296E-01 0.000E+00 0.000E+00    6.34   268.02    1350.7  1149.9   297.2     3.904     1.116     1.1   95215.8 0.000E+00 0.000E+00
  52    323.2    323.2     -0.1      0.0 0.944E+00 0.267E-01 0.296E-01 0.000E+00 0.000E+00    6.36   267.66    1357.5  1149.3   297.2     3.873     1.115     1.2   95132.9 0.000E+00 0.000E+00
  53    330.8    330.8     -0.1      0.0 0.943E+00 0.273E-01 0.296E-01 0.000E+00 0.000E+00    6.38   267.30    1364.3  1148.8   297.1     3.842     1.115     1.2   95050.0 0.000E+00 0.000E+00
  54    338.4    338.4     -0.1      0.0 0.942E+00 0.279E-01 0.296E-01 0.000E+00 0.000E+00    6.39   266.94    1371.1  1148.3   297.1     3.812     1.114     1.2   94967.0 0.000E+00 0.000E+00
  55    346.0    346.0     -0.1      0.0 0.942E+00 0.285E-01 0.296E-01 0.000E+00 0.000E+00    6.41   266.58    1377.9  1147.7   297.0     3.781     1.113     1.3   94883.9 0.000E+00 0.000E+00
  56    353.6    353.6     -0.1      0.0 0.941E+00 0.291E-01 0.296E-01 0.000E+00 0.000E+00    6.43   266.22    1384.7  1147.2   297.0     3.752     1.112     1.3   94800.9 0.000E+00 0.000E+00
  57    361.2    361.2     -0.1      0.0 0.941E+00 0.296E-01 0.296E-01 0.000E+00 0.000E+00    6.45   265.86    1391.5  1146.6   296.9     3.723     1.112     1.3   94717.8 0.000E+00 0.000E+00
  58    368.8    368.8     -0.1      0.0 0.940E+00 0.302E-01 0.296E-01 0.000E+00 0.000E+00    6.47   265.50    1398.2  1146.1   296.9     3.694     1.111     1.3   94634.7 0.000E+00 0.000E+00
  59    376.5    376.5     -0.1      0.0 0.940E+00 0.308E-01 0.296E-01 0.000E+00 0.000E+00    6.49   265.14    1405.0  1145.6   296.8     3.666     1.110     1.4   94551.7 0.000E+00 0.000E+00
  60    384.1    384.1     -0.1      0.0 0.939E+00 0.314E-01 0.296E-01 0.000E+00 0.000E+00    6.51   264.78    1411.7  1145.0   296.8     3.638     1.109     1.4   94468.6 0.000E+00 0.000E+00
  61    391.7    391.7     -0.1      0.1 0.938E+00 0.320E-01 0.295E-01 0.000E+00 0.000E+00    6.53   264.42    1418.5  1144.5   296.7     3.610     1.108     1.4   94385.6 0.000E+00 0.000E+00
  62    399.4    399.4     -0.1      0.1 0.938E+00 0.326E-01 0.295E-01 0.000E+00 0.000E+00    6.55   264.06    1425.2  1143.9   296.7     3.583     1.108     1.5   94302.7 0.000E+00 0.000E+00
  63    407.0    407.0     -0.1      0.1 0.937E+00 0.331E-01 0.295E-01 0.000E+00 0.000E+00    6.57   263.71    1431.9  1143.4   296.6     3.557     1.107     1.5   94219.8 0.000E+00 0.000E+00
  64    414.6    414.6     -0.1      0.1 0.937E+00 0.337E-01 0.295E-01 0.000E+00 0.000E+00    6.59   263.35    1438.7  1142.9   296.6     3.531     1.106     1.5   94136.9 0.000E+00 0.000E+00
  65    422.3    422.3     -0.1      0.1 0.936E+00 0.343E-01 0.295E-01 0.000E+00 0.000E+00    6.61   263.00    1445.4  1142.3   296.5     3.505     1.105     1.5   94054.1 0.000E+00 0.000E+00
  66    429.9    429.9     -0.2      0.1 0.936E+00 0.349E-01 0.295E-01 0.000E+00 0.000E+00    6.63   262.64    1452.0  1141.8   296.5     3.479     1.104     1.6   93971.3 0.000E+00 0.000E+00
  67    437.5    437.5     -0.2      0.1 0.935E+00 0.355E-01 0.295E-01 0.000E+00 0.000E+00    6.65   262.29    1458.7  1141.2   296.4     3.454     1.104     1.6   93888.6 0.000E+00 0.000E+00
  68    445.2    445.2     -0.2      0.1 0.934E+00 0.360E-01 0.295E-01 0.000E+00 0.000E+00    6.67   261.93    1465.4  1140.7   296.4     3.430     1.103     1.6   93805.9 0.000E+00 0.000E+00
  69    452.8    452.8     -0.2      0.1 0.934E+00 0.366E-01 0.295E-01 0.000E+00 0.000E+00    6.69   261.58    1472.0  1140.2   296.3     3.405     1.102     1.7   93723.3 0.000E+00 0.000E+00
  70    460.5    460.5     -0.2      0.1 0.933E+00 0.372E-01 0.295E-01 0.000E+00 0.000E+00    6.71   261.23    1478.7  1139.6   296.3     3.381     1.101     1.7   93640.7 0.000E+00 0.000E+00
  71    468.1    468.1     -0.2      0.1 0.933E+00 0.378E-01 0.295E-01 0.000E+00 0.000E+00    6.73   260.88    1485.3  1139.1   296.2     3.358     1.101     1.7   93558.2 0.000E+00 0.000E+00
  72    475.7    475.7     -0.2      0.1 0.932E+00 0.383E-01 0.295E-01 0.000E+00 0.000E+00    6.75   260.53    1492.0  1138.6   296.2     3.335     1.100     1.8   93475.8 0.000E+00 0.000E+00
  73    483.4    483.4     -0.2      0.1 0.932E+00 0.389E-01 0.294E-01 0.000E+00 0.000E+00    6.77   260.18    1498.6  1138.0   296.1     3.312     1.099     1.8   93393.4 0.000E+00 0.000E+00
  74    491.0    491.0     -0.2      0.1 0.931E+00 0.395E-01 0.294E-01 0.000E+00 0.000E+00    6.79   259.83    1505.2  1137.5   296.1     3.289     1.098     1.8   93311.1 0.000E+00 0.000E+00
  75    498.6    498.6     -0.2      0.1 0.931E+00 0.400E-01 0.294E-01 0.000E+00 0.000E+00    6.81   259.48    1511.8  1137.0   296.0     3.267     1.097     1.8   93228.8 0.000E+00 0.000E+00
  76    506.3    506.3     -0.2      0.1 0.930E+00 0.406E-01 0.294E-01 0.000E+00 0.000E+00    6.83   259.13    1518.4  1136.4   296.0     3.245     1.097     1.9   93146.6 0.000E+00 0.000E+00
  77    513.9    513.9     -0.2      0.1 0.929E+00 0.412E-01 0.294E-01 0.000E+00 0.000E+00    6.85   258.78    1525.0  1135.9   295.9     3.223     1.096     1.9   93064.4 0.000E+00 0.000E+00
  78    521.6    521.6     -0.2      0.1 0.929E+00 0.417E-01 0.294E-01 0.000E+00 0.000E+00    6.86   258.43    1531.5  1135.4   295.9     3.202     1.095     1.9   92982.3 0.000E+00 0.000E+00
  79    529.2    529.2     -0.2      0.1 0.928E+00 0.423E-01 0.294E-01 0.000E+00 0.000E+00    6.88   258.09    1538.1  1134.9   295.8     3.181     1.094     2.0   92900.3 0.000E+00 0.000E+00
  80    536.8    536.8     -0.2      0.1 0.928E+00 0.429E-01 0.294E-01 0.000E+00 0.000E+00    6.90   257.74    1544.7  1134.3   295.8     3.160     1.093     2.0   92818.3 0.000E+00 0.000E+00
  81    544.5    544.5     -0.3      0.1 0.927E+00 0.435E-01 0.294E-01 0.000E+00 0.000E+00    6.92   257.40    1551.2  1133.8   295.7     3.139     1.093     2.0   92736.4 0.000E+00 0.000E+00
  82    552.1    552.1     -0.3      0.1 0.927E+00 0.440E-01 0.294E-01 0.000E+00 0.000E+00    6.94   257.05    1557.7  1133.3   295.7     3.119     1.092     2.0   92654.5 0.000E+00 0.000E+00
  83    559.8    559.8     -0.3      0.1 0.926E+00 0.446E-01 0.294E-01 0.000E+00 0.000E+00    6.96   256.71    1564.3  1132.7   295.6     3.099     1.091     2.1   92572.7 0.000E+00 0.000E+00
  84    567.4    567.4     -0.3      0.1 0.926E+00 0.451E-01 0.293E-01 0.000E+00 0.000E+00    6.98   256.37    1570.8  1132.2   295.6     3.079     1.090     2.1   92491.0 0.000E+00 0.000E+00
  85    575.0    575.0     -0.3      0.1 0.925E+00 0.457E-01 0.293E-01 0.000E+00 0.000E+00    7.00   256.03    1577.3  1131.7   295.5     3.060     1.090     2.1   92409.3 0.000E+00 0.000E+00
  86    582.7    582.7     -0.3      0.1 0.924E+00 0.463E-01 0.293E-01 0.000E+00 0.000E+00    7.02   255.68    1583.8  1131.2   295.5     3.041     1.089     2.2   92327.6 0.000E+00 0.000E+00
  87    590.3    590.3     -0.3      0.1 0.924E+00 0.468E-01 0.293E-01 0.000E+00 0.000E+00    7.04   255.34    1590.3  1130.6   295.4     3.022     1.088     2.2   92246.1 0.000E+00 0.000E+00
  88    598.0    598.0     -0.3      0.1 0.923E+00 0.474E-01 0.293E-01 0.000E+00 0.000E+00    7.06   255.00    1596.8  1130.1   295.4     3.003     1.087     2.2   92164.5 0.000E+00 0.000E+00
  89    605.6    605.6     -0.3      0.1 0.923E+00 0.480E-01 0.293E-01 0.000E+00 0.000E+00    7.08   254.66    1603.3  1129.6   295.4     2.984     1.086     2.3   92083.1 0.000E+00 0.000E+00
  90    613.2    613.2     -0.3      0.1 0.922E+00 0.485E-01 0.293E-01 0.000E+00 0.000E+00    7.10   254.32    1609.8  1129.1   295.3     2.966     1.086     2.3   92001.7 0.000E+00 0.000E+00
  91    620.9    620.9     -0.3      0.1 0.922E+00 0.491E-01 0.293E-01 0.000E+00 0.000E+00    7.12   253.99    1616.2  1128.5   295.3     2.948     1.085     2.3   91920.4 0.000E+00 0.000E+00
  92    628.5    628.5     -0.3      0.1 0.921E+00 0.496E-01 0.293E-01 0.000E+00 0.000E+00    7.14   253.65    1622.7  1128.0   295.2     2.930     1.084     2.3   91839.1 0.000E+00 0.000E+00
  93    636.2    636.2     -0.4      0.1 0.921E+00 0.502E-01 0.293E-01 0.000E+00 0.000E+00    7.16   253.31    1629.2  1127.5   295.2     2.913     1.083     2.4   91757.9 0.000E+00 0.000E+00
  94    643.8    643.8     -0.4      0.1 0.920E+00 0.507E-01 0.293E-01 0.000E+00 0.000E+00    7.18   252.97    1635.6  1127.0   295.1     2.895     1.082     2.4   91676.7 0.000E+00 0.000E+00
  95    651.4    651.4     -0.4      0.1 0.919E+00 0.513E-01 0.292E-01 0.000E+00 0.000E+00    7.19   252.64    1642.1  1126.4   295.1     2.878     1.082     2.4   91595.6 0.000E+00 0.000E+00
  96    659.1    659.1     -0.4      0.2 0.919E+00 0.519E-01 0.292E-01 0.000E+00 0.000E+00    7.21   252.30    1648.5  1125.9   295.0     2.861     1.081     2.5   91514.6 0.000E+00 0.000E+00
  97    666.7    666.7     -0.4      0.2 0.918E+00 0.524E-01 0.292E-01 0.000E+00 0.000E+00    7.23   251.97    1654.9  1125.4   295.0     2.845     1.080     2.5   91433.6 0.000E+00 0.000E+00
  98    674.4    674.4     -0.4      0.2 0.918E+00 0.530E-01 0.292E-01 0.000E+00 0.000E+00    7.25   251.64    1661.3  1124.9   294.9     2.828     1.079     2.5   91352.6 0.000E+00 0.000E+00
  99    682.0    682.0     -0.4      0.2 0.917E+00 0.535E-01 0.292E-01 0.000E+00 0.000E+00    7.27   251.30    1667.8  1124.4   294.9     2.812     1.079     2.6   91271.8 0.000E+00 0.000E+00
 100    689.7    689.7     -0.4      0.2 0.917E+00 0.541E-01 0.292E-01 0.000E+00 0.000E+00    7.29   250.97    1674.2  1123.8   294.8     2.796     1.078     2.6   91191.0 0.000E+00 0.000E+00
 101    697.3    697.3     -0.4      0.2 0.916E+00 0.546E-01 0.292E-01 0.000E+00 0.000E+00    7.31   250.64    1680.6  1123.3   294.8     2.780     1.077     2.6   91110.2 0.000E+00 0.000E+00
 102    704.9    704.9     -0.4      0.2 0.916E+00 0.552E-01 0.292E-01 0.000E+00 0.000E+00    7.33   250.31    1687.0  1122.8   294.7     2.764     1.076     2.6   91029.5 0.000E+00 0.000E+00
 103    712.6    712.6     -0.4      0.2 0.915E+00 0.557E-01 0.292E-01 0.000E+00 0.000E+00    7.35   249.98    1693.4  1122.3   294.7     2.748     1.075     2.7   90948.9 0.000E+00 0.000E+00
 104    720.2    720.2     -0.5      0.2 0.915E+00 0.563E-01 0.292E-01 0.000E+00 0.000E+00    7.37   249.65    1699.8  1121.8   294.6     2.733     1.075     2.7   90868.3 0.000E+00 0.000E+00
 105    727.9    727.9     -0.5      0.2 0.914E+00 0.568E-01 0.292E-01 0.000E+00 0.000E+00    7.39   249.32    1706.1  1121.2   294.6     2.718     1.074     2.7   90787.8 0.000E+00 0.000E+00
 106    735.5    735.5     -0.5      0.2 0.913E+00 0.574E-01 0.292E-01 0.000E+00 0.000E+00    7.41   248.99    1712.5  1120.7   294.5     2.703     1.073     2.8   90707.3 0.000E+00 0.000E+00
 107    743.1    743.1     -0.5      0.2 0.913E+00 0.579E-01 0.291E-01 0.000E+00 0.000E+00    7.42   248.66    1718.9  1120.2   294.5     2.688     1.072     2.8   90626.9 0.000E+00 0.000E+00
 108    750.8    750.8     -0.5      0.2 0.912E+00 0.585E-01 0.291E-01 0.000E+00 0.000E+00    7.44   248.33    1725.2  1119.7   294.4     2.673     1.072     2.8   90546.6 0.000E+00 0.000E+00
 109    758.4    758.4     -0.5      0.2 0.912E+00 0.590E-01 0.291E-01 0.000E+00 0.000E+00    7.46   248.01    1731.6  1119.2   294.4     2.658     1.071     2.9   90466.3 0.000E+00 0.000E+00
 110    766.1    766.1     -0.5      0.2 0.911E+00 0.596E-01 0.291E-01 0.000E+00 0.000E+00    7.48   247.68    1738.0  1118.7   294.3     2.644     1.070     2.9   90386.1 0.000E+00 0.000E+00
 111    773.7    773.7     -0.5      0.2 0.911E+00 0.601E-01 0.291E-01 0.000E+00 0.000E+00    7.50   247.35    1744.3  1118.2   294.3     2.630     1.069     2.9   90305.9 0.000E+00 0.000E+00
 112    781.3    781.3     -0.5      0.2 0.910E+00 0.606E-01 0.291E-01 0.000E+00 0.000E+00    7.52   247.03    1750.7  1117.6   294.2     2.616     1.068     3.0   90225.8 0.000E+00 0.000E+00
 113    789.0    789.0     -0.6      0.2 0.910E+00 0.612E-01 0.291E-01 0.000E+00 0.000E+00    7.54   246.71    1757.0  1117.1   294.2     2.602     1.068     3.0   90145.7 0.000E+00 0.000E+00
 114    796.6    796.6     -0.6      0.2 0.909E+00 0.617E-01 0.291E-01 0.000E+00 0.000E+00    7.56   246.38    1763.3  1116.6   294.2     2.588     1.067     3.0   90065.7 0.000E+00 0.000E+00
 115    804.3    804.3     -0.6      0.2 0.909E+00 0.623E-01 0.291E-01 0.000E+00 0.000E+00    7.58   246.06    1769.7  1116.1   294.1     2.575     1.066     3.0   89985.8 0.000E+00 0.000E+00
 116    811.9    811.9     -0.6      0.2 0.908E+00 0.628E-01 0.291E-01 0.000E+00 0.000E+00    7.60   245.74    1776.0  1115.6   294.1     2.561     1.065     3.1   89905.9 0.000E+00 0.000E+00
 117    819.5    819.5     -0.6      0.2 0.908E+00 0.633E-01 0.291E-01 0.000E+00 0.000E+00    7.61   245.42    1782.3  1115.1   294.0     2.548     1.065     3.1   89826.1 0.000E+00 0.000E+00
 118    827.2    827.2     -0.6      0.2 0.907E+00 0.639E-01 0.290E-01 0.000E+00 0.000E+00    7.61   245.09    1788.6  1114.6   294.0     2.535     1.064     3.1   89746.4 0.000E+00 0.000E+00
 119    834.8    834.8     -0.6      0.3 0.907E+00 0.644E-01 0.290E-01 0.000E+00 0.000E+00    7.62   244.77    1794.9  1114.1   293.9     2.522     1.063     3.2   89666.6 0.000E+00 0.000E+00
 120    842.5    842.5     -0.6      0.3 0.906E+00 0.650E-01 0.290E-01 0.000E+00 0.000E+00    7.63   244.46    1801.2  1113.6   293.9     2.509     1.062     3.2   89587.0 0.000E+00 0.000E+00
 121    850.1    850.1     -0.7      0.3 0.905E+00 0.655E-01 0.290E-01 0.000E+00 0.000E+00    7.64   244.14    1807.5  1113.0   293.8     2.496     1.061     3.2   89507.4 0.000E+00 0.000E+00
 122    857.7    857.7     -0.7      0.3 0.905E+00 0.660E-01 0.290E-01 0.000E+00 0.000E+00    7.64   243.82    1813.8  1112.5   293.8     2.483     1.061     3.3   89427.9 0.000E+00 0.000E+00
 123    865.4    865.4     -0.7      0.3 0.904E+00 0.666E-01 0.290E-01 0.000E+00 0.000E+00    7.65   243.50    1820.1  1112.0   293.8     2.471     1.060     3.3   89348.4 0.000E+00 0.000E+00
 124    873.0    873.0     -0.7      0.3 0.904E+00 0.671E-01 0.290E-01 0.000E+00 0.000E+00    7.66   243.18    1826.4  1111.5   293.7     2.459     1.059     3.3   89269.0 0.000E+00 0.000E+00
 125    880.7    880.7     -0.7      0.3 0.903E+00 0.676E-01 0.290E-01 0.000E+00 0.000E+00    7.67   242.87    1832.7  1111.0   293.7     2.446     1.058     3.4   89189.7 0.000E+00 0.000E+00
